#月,日,時,分,傾斜面日射強度,直達日射強度,散乱光日射強度,反射光日射強度,水平面日射強度,PV電力,発電電力,PV電圧,PV電流,PV温度,外気温度,システム出力係数,PV効率,PV電力(定格比),発電電力(定格比)
#月,日,時,分,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW,kW,V,A,℃,℃,%,%,kW/kWp,kW/kWp
1,4,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00
1,4,4,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,0.00,0.00,0.00,0.00
1,4,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00
1,4,5,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,2.40,0.00,0.00,0.00,0.00
1,4,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00
1,4,6,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,0.00,0.00,0.00,0.00
1,4,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.55,2.55,0.00,0.00,0.00,0.00
1,4,7,30,0.03,0.00,0.03,0.00,0.03,2.81,2.76,356.37,7.88,3.46,2.50,100.56,23.39,0.03,0.03
1,4,8,0,0.05,0.01,0.04,0.00,0.05,4.43,4.35,369.03,12.02,3.55,1.90,92.86,21.60,0.05,0.05
1,4,8,30,0.07,0.01,0.06,0.00,0.06,5.97,5.87,375.36,15.92,3.55,1.30,91.58,21.30,0.06,0.06
1,4,9,0,0.14,0.03,0.11,0.00,0.12,13.16,12.93,386.03,34.10,6.12,1.30,94.16,21.90,0.14,0.13
1,4,9,30,0.22,0.06,0.16,0.00,0.19,20.31,19.95,393.10,51.67,8.73,1.30,94.33,21.94,0.21,0.21
1,4,10,0,0.35,0.16,0.19,0.00,0.30,32.93,32.33,398.76,82.57,14.20,2.15,94.29,21.93,0.34,0.33
1,4,10,30,0.48,0.27,0.22,0.00,0.40,44.62,43.81,399.93,111.56,19.40,3.00,93.88,21.83,0.46,0.45
1,4,11,0,0.50,0.26,0.24,0.00,0.42,46.23,45.39,399.59,115.68,20.57,3.55,93.71,21.80,0.48,0.47
1,4,11,30,0.52,0.25,0.28,0.00,0.44,48.28,47.41,399.23,120.94,21.92,4.10,93.52,21.75,0.50,0.49
1,4,12,0,0.54,0.28,0.26,0.00,0.46,49.69,48.62,399.70,124.32,21.93,3.60,93.20,21.76,0.51,0.50
1,4,12,30,0.55,0.31,0.25,0.00,0.47,51.16,49.50,400.15,127.84,21.96,3.10,92.21,21.76,0.53,0.51
1,4,13,0,0.53,0.29,0.24,0.00,0.44,48.69,47.81,399.88,121.75,21.29,3.35,93.64,21.78,0.50,0.49
1,4,13,30,0.50,0.28,0.22,0.00,0.42,46.28,45.44,399.56,115.82,20.64,3.60,93.70,21.79,0.48,0.47
